Rank,Manufacturer,Model,Form Factor,Smartphone?,Year,Units Sold (million )
1,Nokia,1100,Bar,FALSE,2003,250
2,Nokia,1110,Bar,FALSE,2005,247.5
3,Apple,iPhone 6 & 6 Plus,Touchscreen,TRUE,2014,222.4
4,Nokia,105 Series,Bar,FALSE,2013,200
5,Apple,iPhone 6S & 6S Plus,Touchscreen,TRUE,2015,174.1
6,Apple,iPhone 5S,Touchscreen,TRUE,2013,164.5
7,Nokia,3210,Bar,FALSE,1999,161
8,Apple,iPhone 7 & 7 Plus,Touchscreen,TRUE,2016,159.9
9,Apple,"iPhone11, 11Pro & 11Pro Max",Touchscreen,TRUE,2019,159.2
10,Apple,"iPhone XR, iPhone XS & iPhone XS Max",Touchscreen,TRUE,2018,151.1
11,Nokia,6600,Bar,TRUE,2003,150
12,Nokia,1200,Bar,FALSE,2007,150
13,Nokia,5230,Touchscreen,TRUE,2009,150
14,Samsung,E1100,Bar,FALSE,2009,150
15,Apple,iPhone5,Touchscreen,TRUE,2012,146.2
16,Nokia,2600(2610/2626/2630),Bar,FALSE,2004,135
17,Motorola,RAZRV3,Flip phone,FALSE,2004,130
18,Nokia,1600(1650/1661),Bar,FALSE,2005,130
19,Nokia,3310(3330),Bar,FALSE,2000,126
20,Apple,iPhone 8 & 8 Plus,Touchscreen,TRUE,2017,124.7
21,Apple,"iPhone 12, 12 mini ,12 Pro & 12 Pro Max",Touchscreen,TRUE,2020,100
22,Nokia,1208(1209),Bar,FALSE,2007,100
23,Nokia,1280,Bar,FALSE,2010,100
24,Nokia,6010(6020/6030),Bar,FALSE,2004,75
25,Samsung,Galaxy S III & Galaxy S III Mini,Touchscreen,TRUE,2012,70
26,Samsung,Galaxy S4,Touchscreen,TRUE,2013,70
27,Nokia,5130(5220/5310),Bar,FALSE,2007,65
28,Apple,iPhone X,Touchscreen,TRUE,2017,63
29,Apple,iPhone 4S,Touchscreen,TRUE,2011,60
30,Motorola,StarTAC,Flip phone,FALSE,1996,60
31,Motorola,C200,Bar,FALSE,2003,60
32,Motorola,C139,Bar,FALSE,2005,60
33,Samsung,Galaxy S7 & Galaxy S7 edge,Touchscreen,TRUE,2016,55
34,Nokia,3100(3120),Bar,FALSE,2003,50
35,Nokia,6230(6233),Bar,FALSE,2004,50
36,Apple,iPhone 4,Touchscreen,TRUE,2010,50
37,Nokia,6300,Bar,FALSE,2006,47
38,Samsung,Galaxy S6 & Galaxy S6 edge,Touchscreen,TRUE,2015,45
39,Nokia,N70(N72/N73),Bar,TRUE,2005,45
40,Samsung,Galaxy S8 & Galaxy S8+,Touchscreen,TRUE,2017,41
